Galaxy,Source No.,RA,Dec
,356,05 24 06.21,-69 36 01.27
,357,05 24 06.22,-69 36 06.23
,358,05 24 06.59,-69 35 50.99
,359,05 24 07.17,-69 36 22.45
,360,05 24 07.27,-69 39 10.58
,361,05 24 07.37,-69 39 52.88
,362,05 24 07.40,-69 34 48.25
,363,05 24 07.43,-69 35 19.53
,364,05 24 09.08,-69 35 10.91
,365,05 24 09.20,-69 34 32.05
,366,05 24 09.21,-69 36 13.16
,367,05 24 09.59,-69 39 57.76
,368,05 24 11.34,-69 36 43.21
,369,05 24 11.72,-69 34 54.07
,370,05 24 11.94,-69 35 52.42
,371,05 24 12.10,-69 36 21.08
,372,05 24 12.12,-69 34 59.00
,373,05 24 12.22,-69 36 08.97
,374,05 24 12.34,-69 36 15.43
,375,05 24 13.04,-69 36 13.47
,376,05 24 13.07,-69 36 33.12
,377,05 24 13.81,-69 34 20.32
,378,05 24 14.00,-69 39 15.28
,379,05 24 14.37,-69 36 42.03
,380,05 24 14.54,-69 36 12.82
,381,05 24 14.54,-69 38 10.10
,382,05 24 14.98,-69 39 36.95
,383,05 24 15.09,-69 32 45.88
,384,05 24 15.41,-69 36 07.85
,385,05 24 15.44,-69 35 55.10
,386,05 24 15.60,-69 31 38.98
,387,05 24 16.18,-69 36 05.48
,388,05 24 16.35,-69 31 30.62
,389,05 24 16.80,-69 34 44.97
,390,05 24 17.59,-69 39 10.67
,391,05 24 17.78,-69 35 56.03
,392,05 24 18.09,-69 38 25.16
,393,05 24 18.44,-69 36 32.68
,394,05 24 18.51,-69 41 09.25
,395,05 24 18.54,-69 33 16.44
,396,05 24 19.02,-69 35 58.81
,397,05 24 19.22,-69 38 23.46
,398,05 24 19.62,-69 37 47.06
,399,05 24 20.92,-69 35 21.12
,400,05 24 21.87,-69 37 58.90
,401,05 24 22.00,-69 36 52.97
,402,05 24 22.47,-69 38 31.13
,403,05 24 22.58,-69 34 45.30
,404,05 24 22.88,-69 38 50.08
,405,05 24 24.33,-69 37 07.96
,406,05 24 24.50,-69 38 24.52
,407,05 24 24.70,-69 35 36.19
,408,05 24 24.83,-69 31 40.59
,409,05 24 24.95,-69 36 48.23
,410,05 24 25.62,-69 35 31.84
,411,05 24 25.67,-69 40 20.40
,412,05 24 26.18,-69 35 29.39
,413,05 24 26.33,-69 36 14.43
,414,05 24 26.98,-69 35 22.75
,415,05 24 27.19,-69 36 31.88
,416,05 24 27.26,-69 36 12.04
,417,05 24 28.21,-69 33 24.94
,418,05 24 28.69,-69 31 58.51
,419,05 24 29.01,-69 35 17.61
,420,05 24 29.10,-69 41 33.99
,421,05 24 30.12,-69 37 05.62
